Name,ValidRoles,PopRole,WRate,PickRate,RolePerc,BanPerc
Aatrox,TOP,TOP,51.21,10.729999999999999,89.92,24.69
Ahri,MIDDLE,MID,51.7,4.970000000000001,93.29,1.86
Akali,"TOP,MIDDLE",MID,47.730000000000004,8.39,73.86999999999999,15.25
Akshan,MIDDLE,MID,52.14,2.7,65.75,3.9699999999999998
Alistar,SUPPORT,SUPPORT,50.47,2.96,94.67999999999999,0.73
Amumu,"JUNGLE,SUPPORT",SUPPORT,52.33,3.74,70.39,3.6
Anivia,MIDDLE,MID,53.53,2.29,79.96000000000001,2.15
Annie,MIDDLE,MID,50.86,1.21,74.75,0.36
Aphelios,BOTTOM,ADC,46.1,4.42,98.03,0.6
Ashe,"BOTTOM,SUPPORT",ADC,50.94,7.02,59.13,2.15
"Aurelion Sol",MIDDLE,MID,50.96,0.7,87.72,0.32999999999999996
Azir,MIDDLE,MID,47.47,2.4299999999999997,87.6,0.62
Bard,SUPPORT,SUPPORT,51.07,3.74,97.51,0.47000000000000003
Bel'Veth,JUNGLE,JUNGLE,52.92,4.02,92.76,13.02
Blitzcrank,SUPPORT,SUPPORT,51.61,7.05,96.4,17.8
Brand,"JUNGLE,SUPPORT,MIDDLE",SUPPORT,50.13,3.65,77.8,2.9
Braum,SUPPORT,SUPPORT,49.77,1.8900000000000001,97.64999999999999,0.32
Caitlyn,BOTTOM,ADC,51.61,18.99,98.24000000000001,17.45
Camille,"TOP,SUPPORT",TOP,51.32,6.24,86.53,3
Cassiopeia,MIDDLE,MID,52.09,1.75,71.72,1.41
Cho'Gath,TOP,TOP,50.28,2.3499999999999996,64.07,0.98
Corki,MIDDLE,MID,50.8,1.1700000000000002,88.42,0.21000000000000002
Darius,TOP,TOP,51.87,8.43,92.08,23.91
Diana,"JUNGLE,MIDDLE",JUNGLE,52.4,7.51,72.74000000000001,5.1499999999999995
"Dr. Mundo",TOP,TOP,54.32,8.79,75.93,13.6
Draven,BOTTOM,ADC,51.42,7.18,96.13,20.08
Ekko,"JUNGLE,MIDDLE",JUNGLE,52.449999999999996,7.609999999999999,73.51,6.73
Elise,JUNGLE,JUNGLE,53.46,4.56,94.49000000000001,4.87
Evelynn,JUNGLE,JUNGLE,52.839999999999996,4.8,97.73,9.18
Ezreal,BOTTOM,ADC,49.06,20.05,96.21000000000001,3.9499999999999997
Fiddlesticks,JUNGLE,JUNGLE,52.849999999999994,3.02,78.92,2.46
Fiora,TOP,TOP,53.03,9.28,97.31,31.56
Fizz,MIDDLE,MID,51.720000000000006,3.09,93.71000000000001,3.19
Galio,"MIDDLE,SUPPORT",MID,51.51,1.8900000000000001,83.4,0.28
Gangplank,TOP,TOP,50.51,8.38,82.91000000000001,6.53
Garen,TOP,TOP,51.68,4.13,82,1.35
Gnar,TOP,TOP,49.839999999999996,2.42,95.21000000000001,0.45
Gragas,"JUNGLE,TOP,MIDDLE",TOP,48.64,2.15,42.01,0.45
